Month,Year,Rainfall,WPI
4,2012,47.5,117.9
5,2012,31.7,118.4
6,2012,117.8,119.3
7,2012,250.2,129.5
8,2012,262.4,134.6
9,2012,193.5,136.7
10,2012,58.7,141
11,2012,30.7,142.2
12,2012,11.7,141.2
1,2013,11.3,138
2,2013,40.1,132.6
3,2013,15.7,121.6
4,2013,30.4,117.7
5,2013,57.8,117.4
6,2013,219.8,117.4
7,2013,310,116.5
8,2013,254.7,116.9
9,2013,152.7,119
10,2013,129.4,120.1
11,2013,14,122.9
12,2013,6.7,122.7
1,2014,19.2,120.4
2,2014,27.4,119.3
3,2014,36.1,118.5
4,2014,22.2,116.9
5,2014,72.9,115.9
6,2014,95.4,117.7
7,2014,261.2,121.1
8,2014,237.5,121
9,2014,188,122
10,2014,60.2,122.3
11,2014,14.4,124.3
12,2014,10.7,129.1
1,2015,17.4,127.1
2,2015,21,128
3,2015,62,126.7
4,2015,69.4,127.5
5,2015,53.8,138.6
6,2015,192.8,143
7,2015,242.4,143.8
8,2015,205.2,145.1
9,2015,131.8,148
10,2015,42.9,158.8
11,2015,39.4,163.2
12,2015,15,161.3
1,2016,19.3,154.3
2,2016,22.8,135.3
3,2016,27.6,132.3
4,2016,37.4,144.2
5,2016,62.6,147.4
6,2016,168.3,150.8
7,2016,289.1,155
8,2016,256.3,155.9
9,2016,171.9,155.5
10,2016,76.1,152.8
11,2016,29.7,153.5
12,2016,14.9,151.2
1,2017,19,147.7
2,2017,22.6,143.4
3,2017,27.8,135.3
4,2017,37.9,130.6
5,2017,62.4,130.7
6,2017,168.1,129.9
7,2017,289.3,131
8,2017,256.2,133.3
9,2017,171.5,134.6
10,2017,76.3,134.2
11,2017,29.9,135.6
12,2017,15,138.2
1,2018,19.2,137.6
2,2018,20.1,136.8
3,2018,27.1,136.1
4,2018,40.2,136.8
5,2018,62.7,136.9
6,2018,165,137.4
7,2018,286.3,140.8
8,2018,254.3,143.8
9,2018,171.9,145.6
10,2018,77.2,145.8
11,2018,28.1,146.6
12,2018,14.1,145.7
1,2019,18.5,144.5
2,2019,33.1,143.3
3,2019,18.7,139.4
4,2019,31.5,138.2
5,2019,51.3,139.2
6,2019,113.5,141.5
7,2019,298.8,141.9
8,2019,299.9,143.2
9,2019,259.5,144
10,2019,110.1,144.9
11,2019,31.6,146.5
12,2019,19.2,150.1
1,2020,28.3,152.9
2,2020,12.1,150.5
3,2020,44.7,148.2
4,2020,42.7,147.3
5,2020,71.8,148.6
6,2020,195.6,151.9
7,2020,257.1,154.6
8,2020,327.8,159.3
9,2020,178,164
10,2020,78.3,166.4
11,2020,29.2,171.9
12,2020,17,171.3
1,2021,20.2,177.5
2,2021,7.6,178.9
3,2021,16.7,172.9
4,2021,31.1,181.1
5,2021,107.8,196
6,2021,182.4,200.2
7,2021,266.2,202.3
8,2021,196.3,210.9
9,2021,229.6,219.1
10,2021,100.8,224
11,2021,56.5,225.1
12,2021,20.5,222.8
1,2022,39.5,216.8
2,2022,19.1,216.6
3,2022,8.9,210.9
4,2022,38.2,208.3
5,2022,83.2,210.8
6,2022,152.2,206
7,2022,327.2,204
8,2022,264,201.6
9,2022,181.4,198.2
10,2022,111.8,197.4
11,2022,18.6,201.9
12,2022,13.6,199.3
1,2023,7.2,196.2
2,2023,19.7,185.9
3,2023,25.4,176.2
4,2023,31.4,171.7
5,2023,66.5,167.5
6,2023,250,162
7,2023,305.4,163.8
8,2023,293.9,166.2
9,2023,187.3,165.5
10,2023,75.7,166
11,2023,13.5,167.1
12,2023,27.6,167.4
1,2024,16.2,165.7
2,2024,18.1,162.8
3,2024,30.9,162.2
4,2024,41.4,163
5,2024,71.8,164.5
6,2024,151.1,172
7,2024,315.9,174.9
8,2024,162.7,175.7
9,2024,190,182.5
10,2024,71.3,191.9
11,2024,16.5,191.9
12,2024,3.4,190.5
